FileType,ModificationKind,ChangeCount
groovy,A,244
java,A,212
jpg,A,149
properties,A,51
raw,A,32
adoc,A,21
xml,A,19
png,A,17
csv,A,12
gitignore,A,11
mvn/wrapper/maven-wrapper,A,10
txt,A,9
json,A,6
bat,A,5
jboss,A,5
yml,A,5
cmd,A,5
raw_community,A,5
gitattributes,A,5
md,A,5
sql,A,5
html,A,4
svg,A,3
sh,A,3
ftl,A,3
puml,A,3
travis,A,2
raml,A,1
jpg,C,9
png,C,4
groovy,C,1
java,C,1
groovy,D,56
json,D,17
java,D,14
raw,D,4
html,D,3
raml,D,3
csv,D,2
xml,D,2
properties,D,1
sql,D,1
jpg,D,1
groovy,M,499
java,M,301
xml,M,267
properties,M,117
yml,M,24
gitignore,M,23
md,M,22
travis,M,16
raw,M,14
sh,M,9
sql,M,7
csv,M,6
json,M,5
adoc,M,4
raml,M,3
ftl,M,2
puml,M,1
groovy,R,116
java,R,33
jpg,R,18
json,R,10
png,R,7
raw,R,4
properties,R,2
sql,R,2
raml,R,2
xml,R,1