HourOfDay,CommitCount,Author
08,24,Gerd Aschemann
11,19,Falk Sippach
22,18,Falk Sippach
16,17,Gerd Aschemann
14,16,Falk Sippach
22,14,Gerd Aschemann
21,14,Gerd Aschemann
21,14,Falk Sippach
18,12,Gerd Aschemann
15,12,Gerd Aschemann
12,12,Falk Sippach
15,12,Falk Sippach
00,12,Falk Sippach
23,12,Gerd Aschemann
23,12,Falk Sippach
07,11,Gerd Aschemann
14,11,Gerd Aschemann
13,10,Gerd Aschemann
13,10,Falk Sippach
17,9,Falk Sippach
16,8,Falk Sippach
12,8,Gerd Aschemann
17,8,Gerd Aschemann
09,7,Gerd Aschemann
21,7,Niko Köbler
16,7,Christofer Dutz
11,6,Niko Köbler
19,6,Gerd Aschemann
13,5,Christofer Dutz
15,5,Christofer Dutz
10,5,Gerd Aschemann
10,5,Falk Sippach
06,5,Gerd Aschemann
17,5,Christofer Dutz
13,5,Alexander Schwartz
22,4,Christofer Dutz
17,4,Alexander Schwartz
01,4,Falk Sippach
08,4,Alexander Schwartz
01,4,Gerd Aschemann
11,4,Alexander Schwartz
18,4,Alexander Schwartz
20,3,Niko Köbler
09,3,Christofer Dutz
14,3,Alexander Schwartz
20,3,Alexander Schwartz
08,3,Falk Sippach
16,3,Alexander Schwartz
14,3,Christofer Dutz
17,3,Niko Köbler
20,3,Gerd Aschemann
05,3,Gerd Aschemann
19,2,Falk Sippach
11,2,Gerd Aschemann
00,2,Alexander Schwartz
12,2,Alexander Schwartz
07,2,Falk Sippach
07,2,Niko Köbler
16,2,Niko Köbler
12,2,Christofer Dutz
18,2,Falk Sippach
18,2,Niko Köbler
13,2,PitTorf
23,2,Christofer Dutz
10,2,annam002
10,2,Alexander Schwartz
19,2,Christofer Dutz
11,2,Christofer Dutz
15,1,Alexander Schwartz
18,1,Dirk Mahler
19,1,Niko Köbler
14,1,stephaniep
10,1,Christofer Dutz
19,1,Niko Köbler
12,1,Dirk Mahler
01,1,Niko Köbler
09,1,Falk Sippach
19,1,Michal Harakal
22,1,Niko Köbler
08,1,Dirk Mahler
11,1,annam002
19,1,Stephanie Peters
21,1,Christofer Dutz
08,1,Christofer Dutz
19,1,Alexander Schwartz
06,1,Niko Köbler
17,1,"Aschemann, Gerd"
16,1,Stephanie Peters
11,1,Dirk Mahler
07,1,DukeCon Jenkins
15,1,steffchep
21,1,steffchep
20,1,Dirk Mahler
22,1,Alexander Schwartz
20,1,Christofer Dutz
01,1,Alexander Schwartz
00,1,Niko Köbler
12,1,Niko Köbler
08,1,Niko Köbler