Author,count(ModificationKind),ModificationKind,FileType
Falk Sippach,120,A,groovy
Dirk Mahler,74,A,jpg
Falk Sippach,60,A,java
Gerd Aschemann,60,A,java
Falk Sippach,56,A,jpg
Alexander Schwartz,54,A,java
Gerd Aschemann,51,A,groovy
Dirk Mahler,48,A,groovy
Gerd Aschemann,25,A,properties
Dirk Mahler,17,A,java
Falk Sippach,17,A,raw
Alexander Schwartz,16,A,groovy
Christofer Dutz,15,A,java
Falk Sippach,12,A,properties
Christofer Dutz,9,A,jpg
Dirk Mahler,9,A,png
Gerd Aschemann,9,A,jpg
Dirk Mahler,8,A,adoc
Gerd Aschemann,8,A,adoc
Gerd Aschemann,8,A,xml
Dirk Mahler,7,A,raw
Christofer Dutz,6,A,groovy
Dirk Mahler,6,A,properties
Alexander Schwartz,5,A,xml
Christofer Dutz,5,A,png
Gerd Aschemann,5,A,txt
Gerd Aschemann,5,A,raw
Niko Köbler,5,A,json
Niko Köbler,5,A,java
Alexander Schwartz,4,A,gitignore
Alexander Schwartz,4,A,mvn/wrapper/maven-wrapper
Falk Sippach,4,A,csv
Falk Sippach,4,A,xml
Gerd Aschemann,4,A,sql
Gerd Aschemann,4,A,mvn/wrapper/maven-wrapper
Gerd Aschemann,4,A,gitignore
Gerd Aschemann,4,A,csv
Dirk Mahler,3,A,csv
Falk Sippach,3,A,yml
Falk Sippach,3,A,gitignore
Falk Sippach,3,A,adoc
Falk Sippach,3,A,raw_community
Gerd Aschemann,3,A,html
Gerd Aschemann,3,A,png
annam002,3,A,properties
Alexander Schwartz,2,A,
Alexander Schwartz,2,A,jboss
Alexander Schwartz,2,A,raw
Alexander Schwartz,2,A,adoc
Alexander Schwartz,2,A,cmd
Alexander Schwartz,2,A,bat
Alexander Schwartz,2,A,gitattributes
Alexander Schwartz,2,A,md
Christofer Dutz,2,A,properties
Dirk Mahler,2,A,yml
Falk Sippach,2,A,mvn/wrapper/maven-wrapper
Gerd Aschemann,2,A,svg
Gerd Aschemann,2,A,puml
Gerd Aschemann,2,A,bat
Gerd Aschemann,2,A,md
Gerd Aschemann,2,A,gitattributes
Gerd Aschemann,2,A,
Gerd Aschemann,2,A,cmd
Gerd Aschemann,2,A,jboss
Niko Köbler,2,A,txt
annam002,2,A,groovy
Alexander Schwartz,1,A,sh
Alexander Schwartz,1,A,raw_community
Alexander Schwartz,1,A,properties
Alexander Schwartz,1,A,csv
"Aschemann, Gerd",1,A,raw
Christofer Dutz,1,A,ftl
Christofer Dutz,1,A,xml
Dirk Mahler,1,A,xml
Dirk Mahler,1,A,svg
Dirk Mahler,1,A,puml
Dirk Mahler,1,A,html
Dirk Mahler,1,A,ftl
Dirk Mahler,1,A,txt
Falk Sippach,1,A,gitattributes
Falk Sippach,1,A,json
Falk Sippach,1,A,ftl
Falk Sippach,1,A,txt
Falk Sippach,1,A,
Falk Sippach,1,A,cmd
Falk Sippach,1,A,jboss
Falk Sippach,1,A,sh
Falk Sippach,1,A,bat
Falk Sippach,1,A,sql
Falk Sippach,1,A,md
Gerd Aschemann,1,A,raw_community
Gerd Aschemann,1,A,sh
Gerd Aschemann,1,A,travis
Niko Köbler,1,A,travis
Niko Köbler,1,A,raml
Niko Köbler,1,A,groovy
Niko Köbler,1,A,jpg
Niko Köbler,1,A,java
steffchep,1,A,properties
stephaniep,1,A,properties
Christofer Dutz,9,C,jpg
Christofer Dutz,4,C,png
Dirk Mahler,1,C,groovy
Falk Sippach,1,C,java
Falk Sippach,36,D,groovy
Gerd Aschemann,14,D,groovy
Falk Sippach,7,D,json
Falk Sippach,5,D,java
Gerd Aschemann,5,D,java
Gerd Aschemann,5,D,json
Alexander Schwartz,4,D,groovy
Niko Köbler,4,D,json
Alexander Schwartz,3,D,java
Alexander Schwartz,2,D,xml
Falk Sippach,2,D,csv
Falk Sippach,2,D,raw
Gerd Aschemann,2,D,html
Alexander Schwartz,1,D,json
Alexander Schwartz,1,D,raw
Christofer Dutz,1,D,java
Christofer Dutz,1,D,groovy
Dirk Mahler,1,D,html
Falk Sippach,1,D,raml
Falk Sippach,1,D,properties
Gerd Aschemann,1,D,sql
Gerd Aschemann,1,D,raw
Gerd Aschemann,1,D,raml
Niko Köbler,1,D,raml
Niko Köbler,1,D,jpg
Niko Köbler,1,D,groovy
Falk Sippach,345,M,groovy
Falk Sippach,172,M,java
Gerd Aschemann,120,M,xml
Gerd Aschemann,79,M,groovy
Falk Sippach,70,M,xml
Christofer Dutz,56,M,java
Gerd Aschemann,56,M,properties
Falk Sippach,41,M,properties
Christofer Dutz,30,M,groovy
Alexander Schwartz,24,M,java
Alexander Schwartz,24,M,xml
Christofer Dutz,24,M,xml
Gerd Aschemann,24,M,java
Falk Sippach,20,M,yml
Alexander Schwartz,18,M,groovy
Alexander Schwartz,14,M,properties
Dirk Mahler,13,M,java
Niko Köbler,13,M,xml
Dirk Mahler,12,M,groovy
Falk Sippach,11,M,raw
Gerd Aschemann,11,M,gitignore
Dirk Mahler,8,M,xml
Falk Sippach,8,M,md
Falk Sippach,8,M,gitignore
Alexander Schwartz,7,M,sh
Niko Köbler,7,M,groovy
Alexander Schwartz,6,M,travis
Falk Sippach,6,M,sql
Falk Sippach,6,M,csv
Gerd Aschemann,6,M,md
Niko Köbler,6,M,java
Gerd Aschemann,5,M,travis
Niko Köbler,5,M,xml
Alexander Schwartz,4,M,adoc
annam002,4,M,groovy
Alexander Schwartz,3,M,md
Christofer Dutz,3,M,properties
Falk Sippach,3,M,travis
Gerd Aschemann,3,M,raw
Niko Köbler,3,M,md
annam002,3,M,java
"Aschemann, Gerd",2,M,groovy
Dirk Mahler,2,M,properties
Gerd Aschemann,2,M,
Gerd Aschemann,2,M,yml
Gerd Aschemann,2,M,json
Michal Harakal,2,M,groovy
Niko Köbler,2,M,raml
Niko Köbler,2,M,json
Niko Köbler,2,M,gitignore
PitTorf,2,M,yml
annam002,2,M,xml
Alexander Schwartz,1,M,sql
Alexander Schwartz,1,M,gitignore
"Aschemann, Gerd",1,M,properties
Christofer Dutz,1,M,ftl
Dirk Mahler,1,M,md
Dirk Mahler,1,M,gitignore
Dirk Mahler,1,M,sh
Dirk Mahler,1,M,travis
DukeCon Jenkins,1,M,sh
Falk Sippach,1,M,json
Gerd Aschemann,1,M,raml
Gerd Aschemann,1,M,puml
Michal Harakal,1,M,xml
Niko Köbler,1,M,java
Stephanie Peters,1,M,java
Stephanie Peters,1,M,ftl
annam002,1,M,md
annam002,1,M,travis
steffchep,1,M,java
Falk Sippach,53,R,groovy
Gerd Aschemann,28,R,groovy
Christofer Dutz,18,R,jpg
Alexander Schwartz,14,R,groovy
annam002,14,R,groovy
Falk Sippach,11,R,java
Gerd Aschemann,8,R,json
Christofer Dutz,7,R,png
Dirk Mahler,7,R,groovy
Gerd Aschemann,6,R,java
Alexander Schwartz,4,R,java
Christofer Dutz,4,R,java
Dirk Mahler,4,R,java
Falk Sippach,4,R,raw
Niko Köbler,4,R,java
Falk Sippach,2,R,json
Gerd Aschemann,2,R,raml
Falk Sippach,1,R,sql
Falk Sippach,1,R,properties
Gerd Aschemann,1,R,properties
Gerd Aschemann,1,R,xml
Gerd Aschemann,1,R,sql