Author,FileType,WordsByAuthorByFileType
Falk Sippach,travis,"[[""MERGE"",""REQUEST"",""31"",""AHUS1/AHUS1"",""SPEEDUPBUILD\n\nCACHE"",""MAVEN"",""DIRECTORY"",""SPEED"",""UP"",""BUILD""],[""FIX"",""TRAVIS"",""CI\n""],[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,,"[[""MAKE"",""MAVEN"",""WRAPPER"",""EXECUTABLE"",""\n""],[""MERGE"",""REQUEST"",""33"",""AHUS1/DEVELOP\n\nADDING"",""MAVEN"",""WRAPPER"",""MAKE"",""ENABLE"",""BUILD"",""DUKECON"",""INFRA""],[""LOCALLY"",""FIXED"",""TAKARI/MAVEN"",""WRAPPER/"",""18\n\n"",""SET"",""SYMLINK"",""CURRENTJDK"",""/LIBRARY/JAVA/JAVAVIRTUALMACHINES"",""AS"",""WELL"",""\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Niko Köbler,java,"[[""MOVED"",""MODEL"",""CLASSES"",""API"",""PACKAGE"",""INTRODUCE"",""PARENT"",""POM"",""STRUCTURE"",""GENERATE"",""SWAGGER.JSON"",""FILE"",""API"",""MODULE"",""TARGET"",""FOLDER\n""],[""PING"",""METHOD"",""LAST"",""UPDATED"",""STRING"",""YET"",""MOCKED"",""\n""],[""ADD"",""CONSTRUCTORS"",""JSON"",""MAPPING"",""USAGE\n""],[""HAVE"",""TALKPROVIDER"",""DELIVERING"",""TALKS"",""DEMO"",""TALKS"",""NOW"",""LOADED"",""STATIC"",""FILE\n""],[""ADD"",""TALKSERVICE"",""STUB\n""],[""RENAME"",""FIELD"",""TALK"",""ABSTRACT\n""]]"
Alexander Schwartz,raw_community,"[[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Alexander Schwartz,travis,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n""],[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""],[""MOVE"",""TESTING"",""FIREFOX"",""ADDING"",""FIRST"",""KEYCLOAK"",""TEST\n""],[""CACHE"",""MAVEN"",""DIRECTORY"",""SPEED"",""UP"",""BUILD\n""],[""FORCE"",""LATEST"",""DEPENDENCIES"",""TRAVIS"",""OTHERWISE"",""HTML5"",""CLIENT"",""WILL"",""ONLY"",""BE"",""DOWNLOADED"",""ONCE"",""DAY"",""\n""],[""MAKE"",""FIREFOX"",""GUI"",""TESTING"",""DEFAULT\n""]]"
Gerd Aschemann,cmd,"[[""MERGE"",""REQUEST"",""33"",""AHUS1/DEVELOP\n\nADDING"",""MAVEN"",""WRAPPER"",""MAKE"",""ENABLE"",""BUILD"",""DUKECON"",""INFRA""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
annam002,md,"[[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\n""]]"
annam002,java,"[[""MAKE"",""METASERVICE"",""WORK"",""OTHER"",""CONFERENCES"",""AS"",""WELL\n""],[""CREATE"",""INTERFACE"",""PROVIDING"",""CONFERENCE"",""DATA\n""],[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\n""]]"
Niko Köbler,md,"[[""INITIAL"",""BASIC"",""TRAVIS"",""FILE\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\n"",""BY"",""GERD"",""ASCHEMANN\n"",""VIA"",""GERD"",""ASCHEMANN\n*"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER:\n"",""UPDATE"",""README.MD\n"",""ADDED"",""VERSIONEYE"",""DEPENDENCY"",""STATUS\n"",""MAKE"",""VERSIONEYE"",""HAPPY\n""],[""TRANSLATED"",""ENGLISH"",""BE"",""CONSISTEND"",""OTHER"",""DOCUMENTATION\n""]]"
Gerd Aschemann,raw,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""],[""RAW"",""DATA"",""AS"",""2015"",""09"",""24"",""08H57\n""],[""SWITCH"",""JAVALAND"",""2017\n""],[""RAW"",""DATA"",""AS"",""2015"",""09"",""24"",""08H39\n""],[""CURRENT"",""TEST"",""DATA"",""ADDED\n""],[""LATEST"",""RAW"",""DATA\n""]]"
Falk Sippach,groovy,"[[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER\n""],[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\n""],[""REFACTORING"",""PACKAGE"",""STRUCTURE\n""],[""FINISHED"",""HERBSTCAMPUS"",""DATA"",""MAPPING\n""],[""REFACTORING"",""RAW"",""DATA"",""RESOURCE"",""MANAGEMENT\n""],[""MERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATA""],[""FIXED"",""TEST"",""ERRORS"",""ADDED"",""SPRING"",""CONTEXT"",""INITIALIZER"",""SPRING"",""INTEGRATION"",""TESTS\n""],[""MERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\n""],[""MERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATA""],[""FIXED"",""PROVIDING"",""UNIQUE"",""ID\n""],[""BUGFIX\n""],[""MERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/JAVA/ORG/DUKECON/SERVER/SERVICE/ABSTRACTPREFERENCESSERVICE.GROOVY\n""],[""ADDED"",""INIT"",""RESOURCE"",""RETRIEVING"",""CONFERENCE"",""ID"",""CONFERENCE"",""NAME"",""YEAR\n""],[""MISSING"",""RENAMINGS"",""ROOM"",""TALK"",""FIXED\n""],[""CALCULATED"",""NUMBEROFFAVOURITES\n""],[""REDESIGNED"",""CONFERENCESERVICE"",""ROOT"",""SUB"",""RESOURCE"",""REST/CONFERENCES"",""NOW"",""DELIVERS"",""OBJECT"",""PER"",""CONFERENCE\n""],[""SWITCHED"",""INIT.JSON"",""REST/CONFERENCES"",""TALKPROVIDER"",""CONFIGURATION"",""DATA\n""],[""REST"",""SERVICE"",""USER"",""FILTERS"",""ADDED\n""],[""REFACTORING/RENAMING"",""TALK"",""DATA"",""PROVIDER\n""],[""FIXED"",""TESTS\n""],[""BUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER\nCONFERENCE"",""METADATA"",""CROSSLINKED\nNEW"",""TESTDATA"",""COMMUNITY"",""EVENTS\n""],[""REFACTORING"",""SPEAKER"",""MAPPING\n""],[""RENAMED"",""TALK"",""EVENT\n""],[""REFACTORING"",""DATAPROVIDER\n""],[""INTERMEDIATE"",""STATE"",""REFACTORING"",""MULTITENANT"",""DATA"",""PROVIDER\n""],[""RENAMED"",""TALKTYPE"",""EVENTTYPE\n""],[""REDESIGNED"",""INTERNAL"",""DATA"",""MODEL\nNEW"",""UPDATED"",""REST"",""SERVICES"",""CONFERENCE"",""METADATA"",""TALKS"",""V2"",""\n""],[""MERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATION""],[""REFACTORING"",""METADATA"",""LOOKUP"",""TAKS"",""REST"",""SERVICE"",""V2\n""],[""ADDED"",""ICONS"",""METADATA\n""],[""INTERMEDIATE"",""STATE"",""READING"",""CONFERENCE"",""RESOURCES"",""WORKING"",""JAVALAND"",""2016"",""2017\n""],[""FIELD"",""SIMULTAN"",""ADDED\n""],[""CALCULATING"",""PARTITION"",""EVENTS"",""CLOCK"",""SLICES"",""SERVER"",""SIDE"",""EVENT"",""SLICES"",""SLICEDEVENTS"",""AS"",""REST"",""SERVICE\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""],[""METADATA"",""EXTRACTION\n""],[""ADDED"",""SWAGGER2MARKUP\n""],[""TALKS"",""REST"",""SERVICE"",""V2"",""META"",""DATA"",""REFERENCE\nREFACTORING"",""META"",""DATA"",""LOOKUP\n""],[""NEW"",""EVENT"",""FIELD"",""WILLBECOMEFULL"",""MAPPING"",""MAPPING"",""CAPACITY"",""TESTS"",""FIXED\n""],[""FIXED"",""HTML5"",""CLIENT"",""OVERLAY"",""NOT"",""WORKING"",""PROBLEMS"",""ACTUALLY"",""SPRING"",""BOOT"",""WEB"",""DEPENDENCIES"",""WAS"",""MISSED"",""SO"",""NO"",""STATIC"",""FILES"",""COULD"",""BE"",""SERVED"",""PUBLIC"",""DIRECTORY\n""],[""MERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING""],[""ADDED"",""HOMEURL"",""CONFERENCE"",""JSON"",""EXPORT\n""],[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""],[""FIXED"",""HERBSTCAMPUS"",""CONFERENCE"",""NAME\n""],[""MERGE"",""REQUEST"",""16"",""DUKECON/METADATA\n\nMETADATA""],[""HTTP"",""ETAG"",""CONFIG"",""ADDED\n""],[""BUGFIX"",""SPEAKER"",""DATA\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\nCONFLICTS:\n\tIMPL/SRC/TEST/JAVA/ORG/DUKECON/INTEGRATION/DUKECONSERVERAPPLICATIONSPEC.GROOVY\n""],[""FIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""ID\n""],[""FINISHED"",""POSTGRESQL"",""CONFIGURATION\nRENAMING"",""COLUMNS"",""TABLES\nFLYWAY"",""CORRECTIONS\n""],[""DIVIDE"",""SPOCK"",""UNIT"",""INTEGRATION"",""TESTS\nADDED"",""SPOCK"",""UNIT"",""TEST\n""],[""CACHEINVALIDIERUNG"",""DOAG"",""TALKS"",""KONFIGURIERBAR\n\nHTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER/ISSUES/7\n""],[""REFACTORING"",""DATA"",""LOADING"",""RE"",""ENABLING"",""HYSTRIX\n""],[""RENAMED"",""WILLBECOMEFULL"",""VERYPOPULAR"",""TESTS"",""FIXED\n""],[""MERGE"",""REQUEST"",""25"",""DUKECON/METADATA\n\nADDED"",""CONFERENCE"",""ID"",""RESOURCE"",""PATH""],[""MERGE"",""REQUEST"",""20"",""DUKECON/METADATA\n\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCE""],[""ADDED"",""FIRST"",""LASTNAME"",""CLEANED"",""UP"",""TWITTER"",""HANDLES\n""],[""SPEAKER"",""IMAGES"",""REST"",""RESOURCE\n""],[""CHANGED"",""FULLBOOKEDRESOURCE"",""ADMINRESOURCE"",""ADDED"",""EVENTBOOKINGRESOURCE\n""],[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS"",""ADDED"",""INITIAL"",""WEBRESOURCEDATAPROVIDER"",""CONFIGURED"",""BEANDEFINITIONREGISTRY"",""IT\n""],[""ADDED"",""ADMIN"",""REST"",""RESOURCE"",""SETTING"",""FULLYBOOKED"",""FLAG\n""],[""ADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCE\n""],[""FIXED"",""LOADING"",""CONFERENCES.YML"",""JAR"",""EXECUTION\n""],[""FIXED"",""SPEAKER"",""EVENT"",""ASSIGNMENT\n""],[""RENAMED"",""ROOM"",""LOCATION\n""],[""GENERALIZATION"",""READING"",""SPEAKER"",""DATA"",""SPLITTING"",""FIRST"",""LASTNAME"",""AS"",""NEEDED\n""],[""ADDED"",""FULLYBOOKED"",""NUMBEROFFAVORITES"",""LOCATIONCAPACITY"",""MODEL\n""],[""IGNORED"",""TEST"",""CASE"",""FIXED\n""],[""MERGE"",""REQUEST"",""10"",""DUKECON/TALKCACHEINVALIDIERUNG\n\nTALK"",""CACHE"",""INVALIDIERUNG""],[""JAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\n""],[""TESTS"",""FIXED\n""],[""UPDATE"",""WEBRESOURCEDATAPROVIDERREMOTE.GROOVY""],[""ADDED"",""TALK"",""LIST"",""SPEAKER\n""],[""ADDED"",""EXTERNAL"",""CONFERENCE"",""CONFIGURATION\n""],[""TESTS"",""TIDIED"",""UP\n""],[""REFACTORING"",""META"",""DATA"",""EXTRACTION\n""],[""FIXED"",""TEST\n""],[""FIXED"",""MISSING"",""TALK"",""TYPE"",""ID\n""],[""FIXED"",""SPECIAL"",""DAY"",""HANDLING"",""WORKSHOP"",""DAY\n""],[""ADDED"",""INTIAL"",""DATA"",""EXTRACTOR"",""HERBSTCAMPUS"",""CONFERENCE\n""],[""FIXED"",""CONFERENCE"",""CONFIG"",""BUG\nRETURN"",""STATUS"",""404"",""IF"",""CONFERENCE"",""CAN"",""NOT"",""BE"",""FOUND\n""],[""MERGE"",""REQUEST"",""21"",""DUKECON/METADATA\n\nADDED"",""TALK"",""LIST"",""SPEAKER""],[""FIXED"",""COMPILE"",""TEST"",""ERRORS\n""],[""FIXED"",""TEST"",""ERROR\n""],[""ADDED"",""LANGUAGES"",""ROOMS\n""],[""MERGED\n""],[""ACCESS"",""CONFERENCES"",""REST"",""SERVICE"",""ADDITIONALLY"",""REST/CONFERENCES/ID.JSON\n""],[""MERGE"",""REQUEST"",""18"",""DUKECON/METADATA\n\nFIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""ID""],[""MERGE"",""REQUEST"",""23"",""DUKECON/METADATA\n\nBUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER"",""CONFERENCE"",""METADATA"",""CROSSLINKED"",""NEW"",""TESTDATA"",""COMMUNITY"",""EVENTS""],[""INITIAL"",""SPRING"",""BOOT"",""SETUP\n""],[""REFACTORED"",""INIT"",""RESOURCE"",""CHOOSING"",""REAL"",""CONFERENCE\n""],[""FIXED"",""POTENTIAL"",""NULLPOINTER"",""ERRORS"",""BECAUSE"",""MISSING"",""APACHECON"",""APIKEY\n""],[""TEST"",""FIXED\n""],[""IGNORED"",""JAVALANDDATAEXTRACTOR"",""TEST\n""],[""TESTS"",""REFACTORING"",""TALK"",""CACHE"",""INVALIDATION\n""],[""MOVED"",""TRACKS"",""ROOMS"",""CONFERENCE"",""METADATA"",""KEEP"",""ALL"",""METADATA"",""AT"",""ONE"",""PLACE\n""],[""FIX"",""TRAVIS"",""CI\n""],[""REFACTORED"",""DIVIDE"",""BETWEEN"",""PROD"",""TEST"",""ENV"",""POSTGRESQL\n""],[""CHANGED"",""NOT"",""FOUND"",""RETURN"",""TYPE"",""IF"",""CONFERENCE"",""NOT"",""EXISTS\n"",""46"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER/ISSUES/46\n""],[""ADDED"",""TEST"",""DATA\n""],[""ADDED"",""CORS"",""FILTER\n""],[""H2"",""DATABASE"",""WEB"",""CONSOLE"",""INTEGRATED\n""],[""FILTER"",""EVENTS"",""EMPTY"",""DURATION\nREPLACED"",""\\R\\N"",""\\N\n""],[""REACTIVATED"",""INIT.JSON"",""DEVELOPMENT\n""],[""ADDED"",""DEBUG"",""LOGGING\n""],[""FIXED"",""READING"",""CSV"",""FILE"",""AS"",""INPUTSTREAM\n""],[""ADDED"",""TEST"",""FILTERSREPOSITORY\n""],[""ADDED"",""CONFERENCE"",""ID"",""RESOURCE"",""PATH\n""],[""TEMPORARELY"",""DEACTIVATED"",""HYSTRIX"",""DUE"",""PROBLEMS"",""JAR"",""EXECUTION"",""MODE\n""],[""ADDED"",""SPOCK"",""DEPENDENCY"",""FIRST"",""SPOCK"",""INTEGRATION"",""TEST\n""]]"
Gerd Aschemann,jboss,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""MERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN""]]"
steffchep,java,"[["""",""HOPEFULLY"",""FIX"",""TEST\n""]]"
Falk Sippach,bat,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Niko Köbler,json,"[[""REMOVED"",""NOW"",""UNUSED"",""RAML"",""JSON"",""SCHEMA"",""FILES\n""],[""REMOVE"",""IMPLEMENTATION"",""DETAILS"",""SCHEMA"",""ADD"",""SCHEMA"",""SECTION"",""RAML"",""BETTER"",""CLASS"",""NAMING"",""WHILE"",""GENERATING"",""SOURCES\n""],[""FIRST"",""DRAFT"",""TALKS"",""API\n""],[""FIRST"",""DRAFT"",""META"",""API\n""],[""HAVE"",""TALKPROVIDER"",""DELIVERING"",""TALKS"",""DEMO"",""TALKS"",""NOW"",""LOADED"",""STATIC"",""FILE\n""]]"
Niko Köbler,groovy,"[[""REMOVED"",""DEPENDENCY"",""API"",""PROJECT"",""USING"",""OWN"",""MODEL"",""SERVICE"",""CLASSES\nTHIS"",""C"",""LEAN\n""]]"
Niko Köbler,xml,"[[""REMOVED"",""OUTDATED"",""DEPENDENCY"",""API\n""],[""REMOVED"",""DEPENDENCY"",""API"",""PROJECT"",""USING"",""OWN"",""MODEL"",""SERVICE"",""CLASSES\nTHIS"",""C"",""LEAN\n""],[""SET"",""CORRECT"",""SCOPE"",""LOMBOK\n""],[""ADD"",""CREATED"",""MODEL"",""BE"",""ABLE"",""GET"",""RID"",""GENERATED"",""STUFF"",""\n""]]"
Christofer Dutz,properties,"[["""",""ADDED"",""ABILITY"",""READ"",""STYLE"",""INFORMATION"",""GIVEN"",""CONFERENCE"",""CONFERENCESERVICE\n"",""EXTENDED"",""CONFERENCE"",""REST"",""CONTROLLER"",""GENERATE"",""STYLES.CSS"",""RESOURCES"",""FLY\n""],["""",""ADDED"",""SUPPORT"",""SCHED"",""CONFERENCES\n""],["""",""MADE"",""FLEX"",""APPLICATION"",""USE"",""STYLES"",""SENT"",""SERVER"",""OK"","".."",""CURRENTLY"",""I"",""JUST"",""USE"",""DARK"",""STYLE"",""COLOR"",""TITLES"",""\n"",""MADE"",""RESOURCESERVICEIMPL"",""CONFERENCESERVICEIMPL"",""LITTLE"",""SAFER"",""AGAINST"",""NPES\n"",""ADDED"",""LOCATION"",""LOCATION"",""MAP"",""SPEAKER"",""IMAGES"",""RESOURCES"",""OBJECT\n""],["""",""ADDED"",""RESSOURCE"",""CLASS"",""WRAP"",""RESOURCES"",""SENT"",""BACK"",""BY"",""SERVER"",""INSTEAD"",""RELYING"",""MAP"",""MAPS\n""]]"
Christofer Dutz,jpg,"[["""",""UPDATED"",""DIRECTORIES"",""EXTERNAL"",""IDS"",""ADDED"",""IMAGE"",""RESOURCES"",""JAVALAND"",""2017\n""],["""",""IMPLEMENTED"",""FLEX"",""RESOURCESERVICE"",""THAT"",""LOADS"",""CACHES"",""IMAGE"",""RESOURCES"",""LOCATION"",""LANGUAGES"",""STREAMS\n"",""IMPLEMENTED"",""WORKING"",""JAVA"",""RESOURCESERVICE"",""WHICH"",""PROVIDES"",""IMAGE"",""RESOURCES"",""BY"",""SCANNING"",""WAR"",""CONTENT\n"",""ADDED"",""IMAGE"",""RESOURCES"",""STREAMS"",""LANGUAGES.\n\nTHE"",""SERVER"",""SIDE"",""INTERMEDIATE"",""SOLUTION"",""UNTIL"",""GENERIC"",""WAY"",""HANDLE"",""PERSISTENCE"",""IMAGE"",""DATA"",""STORED"",""DB"",""WHATSOEVER"",""\n""],["""",""UPDATED"",""LANGUAGE"",""CONTAIN"",""WHAT"",""WAS"",""ID"",""PREVIOUSLY"",""NEW"",""FIELD"",""CODE"",""USE"",""NUMERIC"",""ID"",""NOW"",""ON.\n"",""UPDATED"",""RESOURCESERVICE"",""STRUCTURE"",""IMAGE"",""RESOURCES"",""DIFFERENTLY"",""SO"",""S"",""POSSIBLE"",""USE"",""DIFFERENT"",""IMAGES"",""EACH"",""CONFERENCE.\n""]]"
Dirk Mahler,properties,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,raw_community,"[[""MERGED\n""],[""MERGE"",""REQUEST"",""23"",""DUKECON/METADATA\n\nBUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER"",""CONFERENCE"",""METADATA"",""CROSSLINKED"",""NEW"",""TESTDATA"",""COMMUNITY"",""EVENTS""],[""BUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER\nCONFERENCE"",""METADATA"",""CROSSLINKED\nNEW"",""TESTDATA"",""COMMUNITY"",""EVENTS\n""]]"
